Position Number,Applicant ID,Applicant Status,Internal/External Applicant,Sex,Disabled,Disab Vet,Race/Ethnicity,Mil Status
18130.0,16544297,Rejected; No Interview,External,Female,N,N,White,Not a Veteran
18130.0,17135685,Hired,External,Male,,,Asian,Not indicated
18130.0,17451060,Rejected; No Interview,External,Female,Y,N,Black/African American,Not a Veteran
18130.0,26863188,Rejected; No Interview,External,Female,N,N,Asian,Not a Veteran
18130.0,33317816,Rejected; No Interview,External,Female,,,Hispanic/Latino,Not a Veteran
18130.0,37029903,Rejected; No Interview,External,Female,,,Hispanic/Latino,Not indicated
18130.0,67353163,Rejected; No Interview,External,Female,,,Asian,Not indicated
18130.0,69015744,Rejected; Interview,External,Male,,,White,Not a Veteran
18130.0,98452165,Rejected; Min Qualifications Not Met,External,Female,N,N,White,Not a Veteran
18130.0,98860784,Rejected; No Interview,External,Female,,,White,Not indicated
18140.0,10886974,Rejected; No Interview,External,Female,,,Asian,Not indicated
18140.0,33264278,Rejected; No Interview,External,Female,,,White,Not indicated
18140.0,39665805,Rejected; No Interview,External,Female,,,White,Not indicated
18140.0,42472205,Rejected; No Interview,External,Female,N,N,Asian,Not a Veteran
18140.0,42688084,Hired,Internal,Male,N,N,White,Not a Veteran
18140.0,42902716,Rejected; No Interview,External,Female,,,Asian,Not indicated
18140.0,54876284,Rejected; No Interview,External,Female,,,Asian,Not a Veteran
18140.0,56028600,Rejected; No Interview,External,Male,N,N,White,Not a Veteran
18140.0,58926902,Rejected; No Interview,External,Female,,,White,Not indicated
18140.0,67900335,Rejected; No Interview,External,Male,N,N,Asian,Not a Veteran
18140.0,69060977,Rejected; No Interview,Internal,Male,N,N,Hispanic/Latino,Not a Protected Veteran
18140.0,73336250,Rejected; No Interview,Internal,Female,Y,,Asian,Not indicated
18140.0,75404515,Rejected; Interview,Internal,Male,,,Asian,Not indicated
18140.0,76883534,Rejected; Interview,Internal,Female,,,Black/African American,No Military Service
18205.0,16312775,Rejected; No Interview,External,Male,N,N,Black/African American,Not a Veteran
18205.0,20210931,Rejected; Min Qualifications Not Met,External,Male,,,White,Not a Veteran
18205.0,31509596,Rejected; No Interview,External,Male,,,White,Not indicated
18205.0,45349100,Rejected; No Interview,External,Female,Y,,Black/African American,Not indicated
18205.0,54082671,Rejected; No Interview,External,Male,,,Asian,Not indicated
18205.0,57270954,Rejected; No Interview,External,Male,N,N,Black/African American,Not a Veteran
18205.0,69314974,Rejected; No Interview,External,Female,N,N,White,Not a Veteran
18205.0,71883555,Rejected; Interview,External,Male,,,White,Not indicated
18205.0,77858193,Rejected; No Interview,External,Female,,,White,Not indicated
18205.0,81628318,Rejected; Interview,External,Male,N,N,White,Not a Veteran
18205.0,83367505,Rejected; No Interview,External,Female,,,Asian,Not indicated
18205.0,99407387,Hired,External,Female,N,N,White,Not a Veteran
18206.0,10027833,Rejected; No Interview,External,Male,N,N,White,Not a Veteran
18206.0,10658173,Rejected; No Interview,Internal,Male,N,N,Black/African American,Not a Veteran
18206.0,15057627,Rejected; Min Qualifications Not Met,External,Female,N,N,Hispanic/Latino,Not a Veteran
18206.0,17050564,Rejected; No Interview,External,Male,N,N,Black/African American,Not a Veteran
18206.0,19745860,Rejected; No Interview,Internal,Male,Y,N,Hispanic/Latino,Not indicated
18206.0,21425746,Rejected; No Interview,External,Female,,,Asian,Not indicated
18206.0,24896617,Rejected; No Interview,External,Male,Y,N,Asian,Not a Veteran
18206.0,28655555,Rejected; No Interview,External,Female,N,N,Hispanic/Latino,Not a Veteran
18206.0,36450101,Rejected; No Interview,External,Female,,,Asian,Not indicated
18206.0,39944984,Rejected; Interview,Internal,Male,N,N,White,Not a Veteran
18206.0,43897137,Rejected; No Interview,External,Male,,,White,Not a Protected Veteran
18206.0,50698873,Rejected; Min Qualifications Not Met,External,Female,N,N,Asian,Not a Veteran
18206.0,53376573,Rejected; No Interview,External,Male,,,Asian,Not indicated
18206.0,64220066,Rejected; No Interview,External,Female,N,N,Asian,Not a Veteran
18206.0,65450496,Rejected; Interview,Internal,Female,N,N,Asian,Not a Veteran
18206.0,82759788,Rejected; No Interview,External,Female,Y,N,Asian,Not a Veteran
18206.0,86053424,Rejected; No Interview,External,Female,N,N,White,Not a Veteran
18206.0,87007748,Rejected; No Interview,External,Female,Y,N,Black/African American,Not a Veteran
18206.0,95857562,Hired,Internal,Male,N,N,Hispanic/Latino,Not a Veteran
18206.0,97429439,Rejected; Min Qualifications Not Met,External,Female,N,N,White,Not a Veteran
18210.0,11578479,Rejected; No Interview,External,Female,N,N,White,Not a Veteran
18210.0,13519019,Rejected; No Interview,External,Male,N,N,Black/African American,Not a Veteran
18210.0,18412800,Rejected; No Interview,External,Male,N,N,White,Not a Veteran
18210.0,18423389,Rejected; No Interview,External,Female,,,White,Not a Veteran
18210.0,31028200,Rejected; Interview,External,Undeclared,Y,,Asian,Not indicated
18210.0,33885337,Rejected; No Interview,External,Male,Y,,White,Not indicated
18210.0,33908793,Rejected; Interview,External,Female,,,White,Not a Veteran
18210.0,41692689,Rejected; Min Qualifications Not Met,External,Male,N,N,Asian,Not a Veteran
18210.0,48041704,Rejected; Min Qualifications Not Met,External,Female,N,N,White,Not a Veteran
18210.0,93256950,Hired,External,Female,N,N,White,Not a Protected Veteran
18210.0,99010671,Rejected; No Interview,External,Male,N,N,White,Not a Veteran
18212.0,10317304,Rejected; No Interview,External,Male,N,N,White,Not a Veteran
18212.0,14038613,Rejected; No Interview,External,Male,,,Black/African American,Not indicated
18212.0,23436509,Rejected; Interview,External,Female,N,N,Black/African American,Not a Veteran
